pair_id,company_a_global_id,company_b_global_id,current_identity_state_a,current_identity_state_b,source_id,assisted_bucket
FZ-00001-315216-318033,e1dbd5df-9781-4bcd-8214-bd3ea6e2de2f,d3121b4e-5528-401a-bed6-ad80bc8ebeaf,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Balady,UNSURE
FZ-00002-315216-566691,e1dbd5df-9781-4bcd-8214-bd3ea6e2de2f,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00003-315216-568213,e1dbd5df-9781-4bcd-8214-bd3ea6e2de2f,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00004-318033-566691,d3121b4e-5528-401a-bed6-ad80bc8ebeaf,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00005-318033-568213,d3121b4e-5528-401a-bed6-ad80bc8ebeaf,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00006-566691-568213,,,,,Portfolio Master v1 (existing draft),UNSURE
FZ-00007-320197-437618,ecd2ce3b-dfcf-4412-9e40-525c61884621,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00008-314347-317163,8f8bc1c7-bde5-4c07-8570-6bce2272bfe2,a6d99e7c-1a44-4bef-ba1c-4d6b7e1e74ac,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Balady,UNSURE
FZ-00009-314347-566034,8f8bc1c7-bde5-4c07-8570-6bce2272bfe2,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00010-314347-566037,8f8bc1c7-bde5-4c07-8570-6bce2272bfe2,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00011-314347-568144,8f8bc1c7-bde5-4c07-8570-6bce2272bfe2,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00012-317163-566034,a6d99e7c-1a44-4bef-ba1c-4d6b7e1e74ac,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00013-317163-566037,a6d99e7c-1a44-4bef-ba1c-4d6b7e1e74ac,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00014-317163-568144,a6d99e7c-1a44-4bef-ba1c-4d6b7e1e74ac,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00015-566034-566037,,,,,Portfolio Master v1 (existing draft),UNSURE
FZ-00016-566034-568144,,,,,Portfolio Master v1 (existing draft),UNSURE
FZ-00017-566037-568144,,,,,Portfolio Master v1 (existing draft),UNSURE
FZ-00018-315409-318226,6b9ffe88-6ef5-4b95-b4ed-d0d8fbed6e67,ac6e790d-d9b4-4541-b0ff-307988e9e67b,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Balady,UNSURE
FZ-00019-315409-566841,6b9ffe88-6ef5-4b95-b4ed-d0d8fbed6e67,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00020-318226-566841,ac6e790d-d9b4-4541-b0ff-307988e9e67b,,NO_VERIFIABLE_IDENTITY,,Balady,UNSURE
FZ-00021-314505-317321,e2480425-faf6-40f0-b4ef-de937494ab5e,f05a7be4-8ca0-4eff-9db0-004af3cd260d,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Balady,UNSURE
FZ-00022-315273-318090,45fed8b6-58d4-4c3d-b2d5-b3797bb838e0,d3fedc42-bdba-46b2-ac09-ad9069e9fd38,REVIEW_REQUIRED,REVIEW_REQUIRED,Balady,UNSURE
FZ-00023-315273-566738,45fed8b6-58d4-4c3d-b2d5-b3797bb838e0,,REVIEW_REQUIRED,,Balady,UNSURE
FZ-00024-318090-566738,d3fedc42-bdba-46b2-ac09-ad9069e9fd38,,REVIEW_REQUIRED,,Balady,UNSURE
FZ-00025-315204-318021,dd7c7b41-fa7b-426f-82f7-68601f5445e0,28562bee-4f41-4d27-adef-f5561e17889d,REVIEW_REQUIRED,REVIEW_REQUIRED,Balady,UNSURE
FZ-00026-315204-566683,dd7c7b41-fa7b-426f-82f7-68601f5445e0,,REVIEW_REQUIRED,,Balady,UNSURE
FZ-00027-318021-566683,28562bee-4f41-4d27-adef-f5561e17889d,,REVIEW_REQUIRED,,Balady,UNSURE
