pair_id,company_a_global_id,company_b_global_id,current_identity_state_a,current_identity_state_b,source_id,assisted_bucket
FZ-00116-312020-563253,b1934cd1-6fa7-48e3-9a98-ee4864327d77,,DETERMINISTIC_SINGLE_SOURCE,,NCNP,ESCALATE
FZ-00120-314207-565434,870a89ef-90a2-48c6-89a5-3507a3e0d9ef,,DETERMINISTIC_SINGLE_SOURCE,,NCNP,ESCALATE
FZ-00153-313219-564446,ed20fbcb-6a35-4110-8801-e135f983db3d,,DETERMINISTIC_SINGLE_SOURCE,,NCNP,ESCALATE
FZ-00240-311374-562610,97aeb3d8-008a-4bf7-a6e7-2d1419a37d26,,DETERMINISTIC_SINGLE_SOURCE,,NCNP,ESCALATE
FZ-00503-190886-311458,af6af96d-6f28-4354-813b-200193010fd3,96b04e72-2c09-4698-b1ec-5e540bd5ccd6,NO_VERIFIABLE_IDENTITY,DETERMINISTIC_SINGLE_SOURCE,Saudi Companies Directory,ESCALATE
FZ-00506-311458-519183,96b04e72-2c09-4698-b1ec-5e540bd5ccd6,,DETERMINISTIC_SINGLE_SOURCE,,NCNP,ESCALATE
FZ-00507-311458-562693,96b04e72-2c09-4698-b1ec-5e540bd5ccd6,,DETERMINISTIC_SINGLE_SOURCE,,NCNP,ESCALATE
FZ-00572-311560-562794,b34f8ad9-80b5-4605-bde7-07d40c55143f,,DETERMINISTIC_SINGLE_SOURCE,,NCNP,ESCALATE
FZ-00743-313118-564345,51a9d7e1-6bc3-4918-8ccd-cec970dde206,,DETERMINISTIC_SINGLE_SOURCE,,NCNP,ESCALATE
FZ-01128-311980-563214,8564912a-db90-4551-8a7d-0c1e82818c10,,DETERMINISTIC_SINGLE_SOURCE,,NCNP,ESCALATE
FZ-01463-292481-552386,db72398d-aec8-4e36-830d-35e60389b7a1,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01464-292519-552409,54a3f735-a96e-4cd5-b210-8893767c4270,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01485-300273-555689,bc31a7fa-b0d6-4927-a06f-0768a6eb63aa,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01486-286741-549857,6635646f-9b29-4e3a-a4f8-e616828d31a0,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01487-299928-555512,6018aca3-0479-463b-8af4-710f407b8166,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01488-287241-550029,8e6badfe-7f1a-404b-87ea-abaeeae4a6d8,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01489-297080-554329,f38020a8-f0e7-4b7d-a01b-09592b948be0,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01504-304388-557403,3e780a35-4ec4-4108-a2c6-1ecf2d6f3647,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01512-304999-557667,7ee2a08e-2bd4-48ad-b603-053af47a69e1,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01519-292488-552393,eec2f3d6-998e-4727-9db1-cda54b784aa3,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01523-300854-555903,5351602b-f24c-4920-ac88-9716581e052c,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01525-290511-551320,9f2a78d3-f201-4f64-8d6c-21d7c8ba9cf0,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01527-301068-555985,6b137dd5-7c9c-4e1a-bfef-3f6b2469546e,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01528-288205-550469,fb2d5c18-0841-4f45-b33d-f1f9a860b5af,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01529-288251-550492,c1d72bb2-54ed-4bbe-9296-06bc73f12d71,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01530-302711-556671,60c7a462-49dc-4056-a7e3-d82b2c9ad983,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01531-288401-298731,c18e0f74-a76c-4a09-9c39-3acd21cf612c,4b2bc23d-15dc-4826-b95d-3e377bad1b5a,DETERMINISTIC_SINGLE_SOURCE,DETERMINISTIC_SINGLE_SOURCE,SFDA,HIGH_SEPARATE_CANDIDATE
